city,grdi_tercile,facility_type,n_facilities,heat_share,flood_share,water_stress_share,compound_share,median_service_pop_5km,mean_escri,median_grdi
Mexico City,,school,1,0.0,0.0,1.0,0.0,32077.12933315168,0.07264856894810995,
Miami,low,health,5837,0.0,0.06287476443378448,0.252184341271201,0.056878533493232825,203980.74139404297,0.048586204891466804,2.790618419647217
Miami,low,school,1387,0.0,0.011535688536409516,0.277577505407354,0.003604902667627974,217886.11946273013,0.04907065423240876,4.237967491149902
Miami,middle,health,1972,0.0,0.006085192697768763,0.15212981744421908,0.0010141987829614604,248605.13504993657,0.047696139161717624,10.507222175598145
Miami,middle,school,457,0.0,0.010940919037199124,0.3741794310722101,0.00437636761487965,209918.030510664,0.05788975289519448,11.108491897583008
Miami,high,health,1486,0.0,0.0901749663526245,0.22409152086137282,0.0013458950201884253,223213.1300189495,0.07294647823872306,24.209278106689453
Miami,high,school,476,0.0,0.014705882352941176,0.41596638655462187,0.01050420168067227,219136.20872926712,0.07199227987924356,23.761510848999023
Miami,,health,138,0.0,0.014492753623188406,0.043478260869565216,0.0,150858.84515711828,0.030771464020125778,
Miami,,school,57,0.0,0.07017543859649122,0.24561403508771928,0.05263157894736842,148297.80857634352,0.03935311665401405,
Nairobi,middle,health,6,0.0,0.0,0.0,0.0,182177.2210664749,0.017665385276318262,16.900829315185547
Nairobi,middle,school,13,0.0,0.0,0.0,0.0,190119.25855731964,0.021396714225084473,16.900829315185547
Nairobi,high,health,1707,0.0,0.0005858230814294083,0.0,0.0,972025.4590101242,0.026588181907774677,21.247148513793945
Nairobi,high,school,1741,0.0,0.0005743825387708214,0.0,0.0,793558.6861057281,0.027047758878724452,21.247703552246094
Nairobi,,health,3,0.0,0.0,0.0,0.0,78338.6913952902,0.014770173254400873,
Nairobi,,school,3,0.0,0.3333333333333333,0.0,0.0,52087.24056625366,0.034192240146259927,
New York City,low,health,25975,0.0,0.0492781520692974,0.38918190567853705,0.02059672762271415,920640.4942949712,0.05843890998869484,3.396036386489868
New York City,low,school,8557,0.0,0.07677924506252191,0.4374196564216431,0.0308519340890499,925891.3093521846,0.06902331488136934,3.7021803855895996
New York City,middle,health,5547,0.0,0.13394627726699115,0.4458265729223003,0.04488912925905895,1006087.352722168,0.0786883554240911,9.722536087036133
New York City,middle,school,1746,0.0,0.0715922107674685,0.5882016036655212,0.017754868270332187,638041.6725186598,0.09102944546203495,10.690630912780762
New York City,high,health,4882,0.0,0.02744776730848013,0.5956575174108971,0.011470708725931995,309323.25810441095,0.08724195732294729,23.22014808654785
New York City,high,school,1651,0.0,0.06480920654149,0.4900060569351908,0.03331314354936402,409535.2941609295,0.08638174036179093,23.29586410522461
New York City,,health,83,0.0,0.42168674698795183,0.7831325301204819,0.3132530120481928,187069.49293183908,0.10027945056820724,
New York City,,school,14,0.0,0.35714285714285715,0.42857142857142855,0.21428571428571427,249947.6017156379,0.09469631940167632,
Paris,low,health,7828,0.0,0.08507920286152273,0.0,0.0,1113818.5449857712,0.049479898681309,4.504428863525391
Paris,low,school,6811,0.0,0.09954485391278814,0.0,0.0,953066.5631694794,0.053472309113379364,4.798478126525879
Paris,middle,health,282,0.0,0.17375886524822695,0.0,0.0,365384.9699077606,0.059814862237573735,11.232953071594238
Paris,middle,school,276,0.0,0.1956521739130435,0.0,0.0,266468.2146630287,0.06437322530063037,10.895400047302246
Paris,high,health,316,0.0,0.060126582278481014,0.0,0.0,443441.0270309448,0.058088372898199056,24.055240631103516
Paris,high,school,268,0.0,0.07835820895522388,0.0,0.0,396412.0686879158,0.0627222909393899,24.422361373901367
Rome,low,health,2081,0.8044209514656415,0.06391158097068717,1.0,0.8077847188851514,406038.40269235894,0.12065752849388618,4.077249526977539
Rome,low,school,1079,0.7766450417052827,0.10658016682113068,1.0,0.7803521779425394,391288.5568042211,0.12898971077380492,3.9367403984069824
Rome,middle,health,454,0.7400881057268722,0.05066079295154185,1.0,0.7577092511013216,514499.6670403406,0.12970319778212297,10.570659637451172
Rome,middle,school,237,0.7932489451476793,0.11392405063291139,1.0,0.8438818565400844,455721.1691978872,0.14753487278637514,10.241792678833008
Rome,high,health,3645,0.8614540466392319,0.10260631001371742,1.0,0.8694101508916324,553523.2378222942,0.18078225808367707,23.84128189086914
Rome,high,school,1670,0.8083832335329342,0.137125748502994,1.0,0.834131736526946,511690.6176363602,0.18840964724112358,23.87178611755371
Rome,,health,1,1.0,1.0,1.0,1.0,26458.709988351075,0.02312407235291953,
Rotterdam,low,health,2429,0.0,0.48209139563606423,0.002470152326060107,0.002470152326060107,199653.3722805977,0.056141083640818996,4.077683925628662
Rotterdam,low,school,1908,0.0,0.5356394129979035,0.0031446540880503146,0.0031446540880503146,199001.89045680128,0.06142836531187078,4.2162580490112305
Rotterdam,middle,health,291,0.0,0.47766323024054985,0.003436426116838488,0.003436426116838488,207486.45887756348,0.05951201008952926,11.290752410888672
Rotterdam,middle,school,292,0.0,0.541095890410959,0.0,0.0,194784.67357587814,0.0673627050613126,12.117231369018555
Rotterdam,high,health,162,0.0,0.46296296296296297,0.0,0.0,178985.55329256292,0.06808545468604979,20.8601131439209
